id,name,credits,college,prereqs,subject,department
ANTH 240B,Research Design and Writing in Sociocultural Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 240C,Research Seminar in Cultural Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 241,Contemporary Topics in Biological Anthropology,1,College of Letters and Science,,ANTH,Anthropology
ANTH 241A,Current Findings in Biological Anthropology,2,College of Letters and Science,,ANTH,Anthropology
ANTH 241B,Current Methods in Biological Anthropology,2,College of Letters and Science,,ANTH,Anthropology
ANTH 243,Archaeology of Warfare,4,College of Letters and Science,,ANTH,Anthropology
ANTH 244,Pedagogical Methods and Strategies in Biological Anthropology,1,College of Letters and Science,,ANTH,Anthropology
ANTH 245,Anthropological Demography and Life History,4,College of Letters and Science,,ANTH,Anthropology
ANTH 245A,Quantitative Data Analysis Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 245B,Quantitative Data Analysis in Archaeology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 245IA,Evolutionary Anthropology Lab,2,College of Letters and Science,,ANTH,Anthropology
ANTH 25,Violence and the Japanese State,5,College of Letters and Science,,ANTH,Anthropology
ANTH 250,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250AB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250AJ,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250AO,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250BF,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250BH,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250BS,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250CD,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250CG,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250CW,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250CY,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250DB,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250DC,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250DJ,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250DK,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250DS,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250EA,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
